book_id,book_name,book_month,book_year,book_number
UDB00101,UDB-001-1305-06-01-01-MAGH.pdf,magh,1305,1
UDB00102,UDB-001-1305-06-01-02-MAGH.pdf,magh,1305,2
UDB00103,UDB-001-1305-06-01-03-FALGOON.pdf,falgoon,1305,3
UDB00104,UDB-001-1305-06-01-04-FALGOON.pdf,falgoon,1305,4
UDB00105,UDB-001-1305-06-01-05-CHAITRA.pdf,chaitra,1305,5
UDB00106,UDB-001-1305-06-01-06-CHAITRA.pdf,chaitra,1305,6
UDB00107,UDB-001-1305-06-01-07-BAISHAKH.pdf,baishakh,1306,7
UDB00108,UDB-001-1305-06-01-08-BAISHAKH.pdf,baishakh,1306,8
UDB00109,UDB-001-1305-06-01-09-JAISTHA.pdf,jaistha,1306,9
UDB00110,UDB-001-1305-06-01-10-JAISTHA.pdf,jaistha,1306,10
UDB00111,UDB-001-1305-06-01-11-ASHAR.pdf,ashar,1306,11
UDB00112,UDB-001-1305-06-01-12-ASHAR.pdf,ashar,1306,12
UDB00113,UDB-001-1305-06-01-13-SRABON.pdf,srabon,1306,13
UDB00114,UDB-001-1305-06-01-14-SRABON.pdf,srabon,1306,14
UDB00115,UDB-001-1305-06-01-15-VADRO.pdf,vadro,1306,15
UDB00116,UDB-001-1305-06-01-16-VADRO.pdf,vadro,1306,16
UDB00117,UDB-001-1305-06-01-17-ashyeen.pdf,ashyeen,1306,17
UDB00118,UDB-001-1305-06-01-18-ashyeen.pdf,ashyeen,1306,18
UDB00119,UDB-001-1305-06-01-19-karttik.pdf,karttik,1306,19
UDB00120,UDB-001-1305-06-01-20-karttik.pdf,karttik,1306,20
UDB00121,UDB-001-1305-06-01-21-Agrohawan.pdf,agrohawan,1306,21
UDB00122,UDB-001-1305-06-01-22-Agrohawan.pdf,agrohawan,1306,22
UDB00123,UDB-001-1305-06-01-23-Poush.pdf,poush,1306,23
UDB00124,UDB-001-1305-06-01-24-Poush.pdf,poush,1306,24
UDB00201,UDB-002-1306-7-02-01-Magh.pdf,magh,1306,1
UDB00202,UDB-002-1306-7-02-02-Magh.pdf,magh,1306,2
UDB00203,UDB-002-1306-7-02-03-Falgoon.pdf,falgoon,1306,3
UDB00204,UDB-002-1306-7-02-04-Falgoon.pdf,falgoon,1306,4
UDB00205,UDB-002-1306-7-02-05-Chaitra.pdf,chaitra,1306,5
UDB00206,UDB-002-1306-7-02-06-Chaitra.pdf,chaitra,1306,6
UDB00207,UDB-002-1306-7-02-07-Baishakh.pdf,baishakh,1307,7
UDB00208,UDB-002-1306-7-02-08-Baishakh.pdf,baishakh,1307,8
UDB00209,UDB-002-1306-7-02-09-ashar.pdf,ashar,1307,9
UDB00210,UDB-002-1306-7-02-10-ashar.pdf,ashar,1307,10
UDB00211,UDB-002-1306-7-02-11-srabon.pdf,srabon,1307,11
UDB00212,UDB-002-1306-7-02-12-srabon.pdf,srabon,1307,12
UDB00213,UDB-002-1306-7-02-13-vadro.pdf,vadro,1307,13
UDB00214,UDB-002-1306-7-02-14-vadro.pdf,vadro,1307,14
UDB00215,UDB-002-1306-7-02-15-Ashyeen.pdf,ashyeen,1307,15
UDB00216,UDB-002-1306-7-02-16-Ashyeen.pdf,ashyeen,1307,16
UDB00217,UDB-002-1306-7-02-17-Karttik.pdf,karttik,1307,17
UDB00218,UDB-002-1306-7-02-18-Karttik.pdf,karttik,1307,18
UDB00219,UDB-002-1306-7-02-19-Agrohawan.pdf,agrohawan,1307,19
UDB00220,UDB-002-1306-7-02-20-Agrohawan.pdf,agrohawan,1307,20
UDB00221,UDB-002-1306-7-02-21-Poush.pdf,poush,1307,21
UDB00222,UDB-002-1306-7-02-22-Poush.pdf,poush,1307,22
UDB00301,UDB-003-1307-8-03-01-Magh.pdf,magh,1307,1
UDB00302,UDB-003-1307-8-03-02-Magh.pdf,magh,1307,2
UDB00303,UDB-003-1307-8-03-03-Falgoon.pdf,falgoon,1307,3
UDB00304,UDB-003-1307-8-03-04-Falgoon.pdf,falgoon,1307,4
UDB00305,UDB-003-1307-8-03-05-Chaitra.pdf,chaitra,1307,5
UDB00306,UDB-003-1307-8-03-06-Chaitra.pdf,chaitra,1307,6
UDB00307,UDB-003-1307-8-03-07-Baishakh.pdf,baishakh,1308,7
UDB00308,UDB-003-1307-8-03-08-Baishakh.pdf,baishakh,1308,8
UDB00309,UDB-003-1307-8-03-09-ashar.pdf,ashar,1308,9
UDB00310,UDB-003-1307-8-03-10-ashar.pdf,ashar,1308,10
UDB00311,UDB-003-1307-8-03-11-srabon.pdf,srabon,1308,11
UDB00312,UDB-003-1307-8-03-12-srabon.pdf,srabon,1308,12
UDB00313,UDB-003-1307-8-03-13-vadro.pdf,vadro,1308,13
UDB00314,UDB-003-1307-8-03-14-vadro.pdf,vadro,1308,14
UDB00315,UDB-003-1307-8-03-15-Ashyeen.pdf,ashyeen,1308,15
UDB00316,UDB-003-1307-8-03-16-Ashyeen.pdf,ashyeen,1308,16
UDB00317,UDB-003-1307-8-03-17-Karttik.pdf,karttik,1308,17
UDB00318,UDB-003-1307-8-03-18-Karttik.pdf,karttik,1308,18
UDB00319,UDB-003-1307-8-03-19-Agrohawan.pdf,agrohawan,1308,19
UDB00320,UDB-003-1307-8-03-20-Agrohawan.pdf,agrohawan,1308,20
UDB00321,UDB-003-1307-8-03-21-Poush.pdf,poush,1308,21
UDB00322,UDB-003-1307-8-03-22-Poush.pdf,poush,1308,22
UDB00401,UDB-004-1308-9-04-01-Magh.pdf,magh,1308,1
UDB00402,UDB-004-1308-9-04-02-Magh.pdf,magh,1308,2
UDB00403,UDB-004-1308-9-04-03-Falgoon.pdf,falgoon,1308,3
UDB00404,UDB-004-1308-9-04-04-Falgoon.pdf,falgoon,1308,4
UDB00405,UDB-004-1308-9-04-05-Chaitra.pdf,chaitra,1308,5
UDB00406,UDB-004-1308-9-04-06-Chaitra.pdf,chaitra,1308,6
UDB00407,UDB-004-1308-9-04-07-Baishakh.pdf,baishakh,1309,7
UDB00408,UDB-004-1308-9-04-08-Baishakh.pdf,baishakh,1309,8
UDB00409,UDB-004-1308-9-04-09-Ashar.pdf,ashar,1309,9
UDB00410,UDB-004-1308-9-04-10-Ashar.pdf,ashar,1309,10
UDB00411,UDB-004-1308-9-04-11-Srabon.pdf,srabon,1309,11
UDB00412,UDB-004-1308-9-04-12-Srabon.pdf,srabon,1309,12
UDB00413,UDB-004-1308-9-04-13-Vadra.pdf,vadra,1309,13
UDB00414,UDB-004-1308-9-04-14-Vadra.pdf,vadra,1309,14
UDB00415,UDB-004-1308-9-04-15-Ashyeen.pdf,ashyeen,1309,15
UDB00416,UDB-004-1308-9-04-16-Ashyeen.pdf,ashyeen,1309,16
UDB00417,UDB-004-1308-9-04-17-Karttik.pdf,karttik,1309,17
UDB00418,UDB-004-1308-9-04-18-Karttik.pdf,karttik,1309,18
UDB00419,UDB-004-1308-9-04-19-Agrohawan.pdf,agrohawan,1309,19
UDB00420,UDB-004-1308-9-04-20-Agrohawan.pdf,agrohawan,1309,20
UDB00421,UDB-004-1308-9-04-21-Poush.pdf,poush,1309,21
UDB00422,UDB-004-1308-9-04-22-Poush.pdf,poush,1309,22
UDB00501,UDB-005-1309-10-05-01-Magh.pdf,magh,1309,1
UDB00502,UDB-005-1309-10-05-02-Magh.pdf,magh,1309,2
UDB00503,UDB-005-1309-10-05-03-Falgoon.pdf,falgoon,1309,3
UDB00504,UDB-005-1309-10-05-04-Falgoon.pdf,falgoon,1309,4
UDB00505,UDB-005-1309-10-05-05-Chaitra.pdf,chaitra,1309,5
UDB00506,UDB-005-1309-10-05-06-Chaitra.pdf,chaitra,1309,6
UDB00507,UDB-005-1309-10-05-07-Baishakh.pdf,baishakh,1310,7
UDB00508,UDB-005-1309-10-05-08-Baishakh.pdf,baishakh,1310,8
UDB00509,UDB-005-1309-10-05-09-Ashar.pdf,ashar,1310,9
UDB00510,UDB-005-1309-10-05-10-Ashar.pdf,ashar,1310,10
UDB00511,UDB-005-1309-10-05-11-Srabon.pdf,srabon,1310,11
UDB00512,UDB-005-1309-10-05-12-Srabon.pdf,srabon,1310,12
UDB00513,UDB-005-1309-10-05-13-Vadra.pdf,vadra,1310,13
UDB00514,UDB-005-1309-10-05-14-Vadra.pdf,vadra,1310,14
UDB00515,UDB-005-1309-10-05-15-Ashyeen.pdf,ashyeen,1310,15
UDB00516,UDB-005-1309-10-05-16-Ashyeen.pdf,ashyeen,1310,16
UDB00517,UDB-005-1309-10-05-17-Karttik.pdf,karttik,1310,17
UDB00518,UDB-005-1309-10-05-18-Karttik.pdf,karttik,1310,18
UDB00519,UDB-005-1309-10-05-19-Agrohawan.pdf,agrohawan,1310,19
UDB00520,UDB-005-1309-10-05-20-Agrohawan.pdf,agrohawan,1310,20
UDB00521,UDB-005-1309-10-05-21-Poush.pdf,poush,1310,21
UDB00522,UDB-005-1309-10-05-22-Poush.pdf,poush,1310,22
UDB00601,UDB-006-1310-11-06-01-Magh.pdf,magh,1310,1
UDB00602,UDB-006-1310-11-06-02-Magh.pdf,magh,1310,2
UDB00603,UDB-006-1310-11-06-03-Falgoon.pdf,falgoon,1310,3
