group_id,books_in_group,start_book,end_book,no_of_issues,price_per_issue,actual_price,discount,final_price
GRP001,1,UDB00101,UDB00124,12,10.00,120.00,0.10,108.00
GRP002,1,UDB00201,UDB00222,12,10.00,120.00,0.10,108.00
GRP003,1,UDB00301,UDB00322,12,10.00,120.00,0.10,108.00
GRP004,1,UDB00401,UDB00422,12,10.00,120.00,0.10,108.00
GRP005,1,UDB00501,UDB00522,12,10.00,120.00,0.10,108.00
GRP006,5,UDB00101,UDB00522,60,10.00,600.00,0.15,510.00
GRP007,5,UDB00601,UDB01012,60,10.00,600.00,0.15,510.00
GRP008,5,UDB01101,UDB01512,60,10.00,600.00,0.15,510.00
GRP009,5,UDB01601,UDB02012,60,10.00,600.00,0.15,510.00
GRP010,5,UDB02101,UDB02512,60,10.00,600.00,0.15,510.00
GRP011,5,UDB02601,UDB03012,60,10.00,600.00,0.15,510.00
GRP012,5,UDB03101,UDB03512,60,10.00,600.00,0.15,510.00
GRP013,5,UDB03601,UDB04012,60,10.00,600.00,0.15,510.00
GRP014,5,UDB04101,UDB04512,60,10.00,600.00,0.15,510.00
GRP015,5,UDB04601,UDB05012,60,10.00,600.00,0.15,510.00
GRP016,5,UDB05101,UDB05512,60,10.00,600.00,0.15,510.00
GRP017,5,UDB05601,UDB06012,60,10.00,600.00,0.15,510.00
GRP018,5,UDB06101,UDB06512,60,10.00,600.00,0.15,510.00
GRP019,5,UDB06601,UDB07012,60,10.00,600.00,0.15,510.00
GRP020,5,UDB07101,UDB07512,60,10.00,600.00,0.15,510.00
GRP021,5,UDB07601,UDB08012,60,10.00,600.00,0.15,510.00
GRP022,5,UDB08101,UDB08512,60,10.00,600.00,0.15,510.00
GRP023,5,UDB08601,UDB09012,60,10.00,600.00,0.15,510.00
GRP024,5,UDB09101,UDB09512,60,10.00,600.00,0.15,510.00
GRP025,5,UDB09601,UDB10012,60,10.00,600.00,0.15,510.00
GRP026,10,UDB00101,UDB01012,120,10.00,1200.00,0.20,960.00
GRP027,10,UDB01101,UDB02012,120,10.00,1200.00,0.20,960.00
GRP028,10,UDB02101,UDB03012,120,10.00,1200.00,0.20,960.00
GRP029,10,UDB03101,UDB04012,120,10.00,1200.00,0.20,960.00
GRP030,10,UDB04101,UDB05012,120,10.00,1200.00,0.20,960.00
GRP031,10,UDB05101,UDB06012,120,10.00,1200.00,0.20,960.00
GRP032,10,UDB06101,UDB07012,120,10.00,1200.00,0.20,960.00
GRP033,10,UDB07101,UDB08012,120,10.00,1200.00,0.20,960.00
GRP034,10,UDB08101,UDB09012,120,10.00,1200.00,0.20,960.00
GRP035,10,UDB09101,UDB10012,120,10.00,1200.00,0.20,960.00
GRP036,50,UDB00101,UDB05012,600,10.00,6000.00,0.25,4500.00
GRP037,50,UDB05101,UDB10012,600,10.00,6000.00,0.25,4500.00
GRP038,100,UDB00101,UDB10012,1200,10.00,12000.00,0.30,8400.00
