id,bookname_ws,bookyear_i,bookmonth_txt_en_split,author_txt_en_split,subject_txt_en_split,booknumber_i
1986,UDB-016-1320-01-Magh.pdf,1320,magh,,Shri Shri Ramkrishnaleelaprasanga,1
1987,UDB-016-1320-01-Magh.pdf,1320,magh,,Adwaitabader biruddhe Ramanujacharyer apotti-khandan,1
1988,UDB-016-1320-01-Magh.pdf,1320,magh,,Ishdoot Jishukhristo,1
1989,UDB-016-1320-01-Magh.pdf,1320,magh,,Probuddho bharoter prati,1
1990,UDB-016-1320-01-Magh.pdf,1320,magh,,Kedarnath o badrikashram,1
1991,UDB-016-1320-01-Magh.pdf,1320,magh,,Kashite Shankar,1
1992,UDB-016-1320-01-Magh.pdf,1320,magh,Shri Upendranath Datta,Bouddhokotha (buddho o anwopali),1
1993,UDB-016-1320-01-Magh.pdf,1320,magh,,Shaar Kotha,1
1994,UDB-016-1320-01-Magh.pdf,1320,magh,,Sangkhipta Alochona,1
1995,UDB-016-1320-01-Magh.pdf,1320,magh,,Sangbad o Mantabya,1
1996,UDB-016-1320-01-Magh.pdf,1320,magh,,Ramkrishna Mission bonnakarjye Praptiswikar,1
1997,UDB-016-1320-02-falgoon.pdf,1320,falgoon,Swami Saradananda,Shri Shri Ramkrishnaleelaprasanga,2
1998,UDB-016-1320-02-falgoon.pdf,1320,falgoon,Swami Sarbbananda,Kormmo o Kormmofol,2
1999,UDB-016-1320-02-falgoon.pdf,1320,falgoon,Swami Vivekananda,Jogoter Mohattama Acharyagan,2
2000,UDB-016-1320-02-falgoon.pdf,1320,falgoon,"Shri Girijashankar Roy Chaudhuri,  M. A.",Bhokto vijaykrishna goswami sambandhe du ekti kotha,2
2001,UDB-016-1320-02-falgoon.pdf,1320,falgoon,Sister Nivedita,Kedarkhonde Swami-Sangbad,2
2002,UDB-016-1320-02-falgoon.pdf,1320,falgoon,,Bharater Sadhana,2
2003,UDB-016-1320-02-falgoon.pdf,1320,falgoon,,Shaar Kotha,2
2004,UDB-016-1320-02-falgoon.pdf,1320,falgoon,,Bangalore mothe Mahisur Yuvarajer boktrita,2
2005,UDB-016-1320-02-falgoon.pdf,1320,falgoon,,Swami Vivekanander dwiponchasttama jonmotsab,2
2006,UDB-016-1320-02-falgoon.pdf,1320,falgoon,,Samalochana,2
2007,UDB-016-1320-02-falgoon.pdf,1320,falgoon,,Sangbad o Mantabya,2
2008,UDB-016-1320-02-falgoon.pdf,1320,falgoon,,Ramkrishna Mission bonnakarjye Praptiswikar,2
2009,UDB-016-1320-03-Chaitra.pdf,1320,chaitra,Swami Saradananda,Shri Shri Ramkrishnaleelaprasanga,3
2010,UDB-016-1320-03-Chaitra.pdf,1320,chaitra,Shri Kanailal Pal,Europeo Darshaner Itihaas,3
2011,UDB-016-1320-03-Chaitra.pdf,1320,chaitra,Shri Manmathanath Bandapadhyay,Guru-Shishya,3
2012,UDB-016-1320-03-Chaitra.pdf,1320,chaitra,,Jogoter mahattama acharyagan,3
2013,UDB-016-1320-03-Chaitra.pdf,1320,chaitra,Sister Nivedita,Kedarkhonde Swami-Sangbad,3
2014,UDB-016-1320-03-Chaitra.pdf,1320,chaitra,Shri---,Shri Shri Ramkrishnastotra,3
2015,UDB-016-1320-03-Chaitra.pdf,1320,chaitra,Shri Upendranath Dutta,Bouddha Katha,3
2016,UDB-016-1320-03-Chaitra.pdf,1320,chaitra,,Sangkhipta Samalochona,3
2017,UDB-016-1320-03-Chaitra.pdf,1320,chaitra,,Sangbad o Mantabya,3
2018,UDB-016-1321-04-Boishakh.pdf,1321,boishakh,Swami Saradananda,Shri Shri Ramkrishnaleelaprasanga,4
2019,UDB-016-1321-04-Boishakh.pdf,1321,boishakh,,Swami Vivekanander patra,4
2020,UDB-016-1321-04-Boishakh.pdf,1321,boishakh,,Debbani,4
2021,UDB-016-1321-04-Boishakh.pdf,1321,boishakh,Sister Nivedita,Kedarkhonde Swami-Sangbad,4
2022,UDB-016-1321-04-Boishakh.pdf,1321,boishakh,Swami Sudhhananda,Dharmmer Proman,4
2023,UDB-016-1321-04-Boishakh.pdf,1321,boishakh,Shri Kanailal Pal,Europeo Darshaner Itihaas,4
2024,UDB-016-1321-04-Boishakh.pdf,1321,boishakh,Shri Girijashankar Roy Chaudhuri,Pandit vijoykrishna goswamir brahmodharmmo parityager karon ki?,4
2025,UDB-016-1321-04-Boishakh.pdf,1321,boishakh,Shri---,Shri Shri Ramkrishnastotra,4
2026,UDB-016-1321-04-Boishakh.pdf,1321,boishakh,Shri Atulkrishna Das,Kedarnath o Badrikashram,4
2027,UDB-016-1321-04-Boishakh.pdf,1321,boishakh,Swami Saradananda,"""Mahanirbban tontro"" o ""Devistotrabali""",4
2028,UDB-016-1321-04-Boishakh.pdf,1321,boishakh,,Shaar Kotha,4
2029,UDB-016-1321-04-Boishakh.pdf,1321,boishakh,,Sangbad o Mantabya,4
2030,UDB-016-1321-05-Joishtho.pdf,1321,joishtho,,Shri Shri Ramkrishnaleelaprasanga,5
2031,UDB-016-1321-05-Joishtho.pdf,1321,joishtho,Shrimati Saralabala Dasi,Byakti o jati,5
2032,UDB-016-1321-05-Joishtho.pdf,1321,joishtho,,Debbani,5
2033,UDB-016-1321-05-Joishtho.pdf,1321,joishtho,,Swami Vivekanander patra,5
2034,UDB-016-1321-05-Joishtho.pdf,1321,joishtho,Shri Kanailal Pal,Europeo Darshaner Itihaas,5
2035,UDB-016-1321-05-Joishtho.pdf,1321,joishtho,,Shaar Kotha,5
2036,UDB-016-1321-05-Joishtho.pdf,1321,joishtho,Shri Atulkrishna dutta,Kedarnath o Badrikashram,5
2037,UDB-016-1321-05-Joishtho.pdf,1321,joishtho,,Sangkhipta Alochona,5
2038,UDB-016-1321-06-Ashar.pdf,1321,ashar,Swami Vivekananda,Debbani,6
2039,UDB-016-1321-06-Ashar.pdf,1321,ashar,Shrimati Saralabala Dasi,Byakti o jati,6
2040,UDB-016-1321-06-Ashar.pdf,1321,ashar,Shri---,Swami Vivekananda ki Shri Ramkrishna hoite biruddha mat prochar koriachen?,6
2041,UDB-016-1321-06-Ashar.pdf,1321,ashar,Sister Nivedita,Kedarkhonde Swami-Sangbad,6
2042,UDB-016-1321-06-Ashar.pdf,1321,ashar,,Swami Vivekanander patra,6
2043,UDB-016-1321-06-Ashar.pdf,1321,ashar,shrijyotirindranath sen,Ishwar Tripurasundari,6
