id,bookname_ws,bookyear_i,bookmonth_txt_en_split,author_txt_en_split,subject_txt_en_split,booknumber_i,
3301,UDB-026-1330-31-01-Magh.pdf,1330,Magh,shri vivekananda mukhopadhyay,udbodhan,1,UDB02601
3302,UDB-026-1330-31-01-Magh.pdf,1330,Magh,shri ahibhushan dey chaudhary,vedic adhikari rahoshya,1,UDB02601
3303,UDB-026-1330-31-01-Magh.pdf,1330,Magh,shri debendranath gangopadhay m a,prachiner ahaban,1,UDB02601
3304,UDB-026-1330-31-01-Magh.pdf,1330,Magh,shri sarojkumar sen,bidrohi,1,UDB02601
3305,UDB-026-1330-31-01-Magh.pdf,1330,Magh,shrimad swami ramkrishna nand,gyan o bhakti,1,UDB02601
3306,UDB-026-1330-31-01-Magh.pdf,1330,Magh,shri sureshchandra pal b a,shri vivekananda prashanti,1,UDB02601
3307,UDB-026-1330-31-01-Magh.pdf,1330,Magh,shri jyotiprashad bandopadyay,swami vivekananda,1,UDB02601
3308,UDB-026-1330-31-01-Magh.pdf,1330,Magh,adhyapak doctor vidhibhushan rai msc dsp,prabashir patranksh,1,UDB02601
3309,UDB-026-1330-31-01-Magh.pdf,1330,Magh,purnokam,sadhur diary,1,UDB02601
3310,UDB-026-1330-31-01-Magh.pdf,1330,Magh,,madhukari,1,UDB02601
3311,UDB-026-1330-31-01-Magh.pdf,1330,Magh,swami ashitanand,gaan,1,UDB02601
3312,UDB-026-1330-31-01-Magh.pdf,1330,Magh,,shamalochana o pustak parichay,1,UDB02601
3313,UDB-026-1330-31-01-Magh.pdf,1330,Magh,shri pareshnath sen,songbad o montabya,1,UDB02601
3314,UDB-026-1330-31-02-Falgoon.pdf,1330,Falgoon,swami madhusudananand,shri ramkrishna mahatma,2,UDB02602
3315,UDB-026-1330-31-02-Falgoon.pdf,1330,Falgoon,fitindranath thakur,anjali,2,UDB02602
3316,UDB-026-1330-31-02-Falgoon.pdf,1330,Falgoon,adhyapak shri arunprashad bandopadyay m a,swami vivekanander ismarane,2,UDB02602
3317,UDB-026-1330-31-02-Falgoon.pdf,1330,Falgoon,shri anjitnath sarkar,sonshar,2,UDB02602
3318,UDB-026-1330-31-02-Falgoon.pdf,1330,Falgoon,purnokam,sadhur diary,2,UDB02602
3319,UDB-026-1330-31-02-Falgoon.pdf,1330,Falgoon,shri radharaman sen,barno bibhag,2,UDB02602
3320,UDB-026-1330-31-02-Falgoon.pdf,1330,Falgoon,shri ahibhushan dey chaudhary,baidik adhikari rahasya,2,UDB02602
3321,UDB-026-1330-31-02-Falgoon.pdf,1330,Falgoon,tinu,panchabati,2,UDB02602
3322,UDB-026-1330-31-02-Falgoon.pdf,1330,Falgoon,shri shahaji,shankar o chaitanya,2,UDB02602
3323,UDB-026-1330-31-02-Falgoon.pdf,1330,Falgoon,shri brajendralal goswami,dukher bhitor sukh,2,UDB02602
3324,UDB-026-1330-31-02-Falgoon.pdf,1330,Falgoon,swami chandreshranand,swami premanand,2,UDB02602
3325,UDB-026-1330-31-02-Falgoon.pdf,1330,Falgoon,,madhukari,2,UDB02602
3326,UDB-026-1330-31-02-Falgoon.pdf,1330,Falgoon,,granth parichay,2,UDB02602
3327,UDB-026-1330-31-02-Falgoon.pdf,1330,Falgoon,,sangh barta,2,UDB02602
3328,UDB-026-1330-31-03-Chaitra.pdf,1330,Chaitra,shri gyanendrachandra ghosh kabya ratan darshan shastri,nirbaban,3,UDB02603
3329,UDB-026-1330-31-03-Chaitra.pdf,1330,Chaitra,shri ahibhusan dey chaudhary,baidik adhikari rahasya,3,UDB02603
3330,UDB-026-1330-31-03-Chaitra.pdf,1330,Chaitra,tinu,mahima,3,UDB02603
3331,UDB-026-1330-31-03-Chaitra.pdf,1330,Chaitra,swami chandreshranand,swami premanand,3,UDB02603
3332,UDB-026-1330-31-03-Chaitra.pdf,1330,Chaitra,shri satyabala debi,ishwar,3,UDB02603
3333,UDB-026-1330-31-03-Chaitra.pdf,1330,Chaitra,shri anjitnath sarkar,sonshar,3,UDB02603
3334,UDB-026-1330-31-03-Chaitra.pdf,1330,Chaitra,shri akhyakumar rai,dharmer swaroop,3,UDB02603
3335,UDB-026-1330-31-03-Chaitra.pdf,1330,Chaitra,,madhukari,3,UDB02603
3336,UDB-026-1330-31-03-Chaitra.pdf,1330,Chaitra,swami chandreshranand,baron,3,UDB02603
3337,UDB-026-1330-31-03-Chaitra.pdf,1330,Chaitra,,granth parichay,3,UDB02603
3338,UDB-026-1330-31-04-Boishakh.pdf,1331,Boishakh,brahmachari akhaychaitanya,ishwar prayage ardhakumbh darshane,4,UDB02604
3339,UDB-026-1330-31-04-Boishakh.pdf,1331,Boishakh,adyapak shri madhabdas chakraborty shankyatirtha m a,shankar darshan,4,UDB02604
3340,UDB-026-1330-31-04-Boishakh.pdf,1331,Boishakh,shri akhaykumar rai,dharmer swaroop,4,UDB02604
3341,UDB-026-1330-31-04-Boishakh.pdf,1331,Boishakh,,madhukari,4,UDB02604
3342,UDB-026-1330-31-04-Boishakh.pdf,1331,Boishakh,shri madhusudan majumdar,utsav,4,UDB02604
3343,UDB-026-1330-31-04-Boishakh.pdf,1331,Boishakh,shri anjitnath sarkar,sonshar,4,UDB02604
3344,UDB-026-1330-31-04-Boishakh.pdf,1331,Boishakh,swami chandreshranand,milan o biched,4,UDB02604
3345,UDB-026-1330-31-04-Boishakh.pdf,1331,Boishakh,,granth parichay,4,UDB02604
3346,UDB-026-1330-31-04-Boishakh.pdf,1331,Boishakh,,sangh barta,4,UDB02604
3347,UDB-026-1330-31-05-jaistho.pdf,1331,jaistho,shri tarinishankar singho,shadna o tahar kram,5,UDB02605
3348,UDB-026-1330-31-05-jaistho.pdf,1331,jaistho,shri sureshchandra pal b a,mayer ismriti,5,UDB02605
3349,UDB-026-1330-31-05-jaistho.pdf,1331,jaistho,shri sushilkumar deb,swami vivekananda o karmajibon bedanto,5,UDB02605
3350,UDB-026-1330-31-05-jaistho.pdf,1331,jaistho,shri shahaji,dhani darindra shamasya o tahar shamadhaner upay,5,UDB02605
3351,UDB-026-1330-31-05-jaistho.pdf,1331,jaistho,shri nalini ranjan sen b a bi ti,swadesh prem,5,UDB02605
3352,UDB-026-1330-31-05-jaistho.pdf,1331,jaistho,shatyakam,baro o choto,5,UDB02605
3353,UDB-026-1330-31-05-jaistho.pdf,1331,jaistho,shri anjitnath sarkar,sonshar,5,UDB02605
3354,UDB-026-1330-31-05-jaistho.pdf,1331,jaistho,,madhukari,5,UDB02605
3355,UDB-026-1330-31-05-jaistho.pdf,1331,jaistho,shri girishchandra sarkar,adhar o alok,5,UDB02605
3356,UDB-026-1330-31-05-jaistho.pdf,1331,jaistho,,granth parichay,5,UDB02605
3357,UDB-026-1330-31-05-jaistho.pdf,1331,jaistho,,sangh barta,5,UDB02605
3358,UDB-026-1330-31-06-Ashar.pdf,1331,Ashar,,vivekananda praniti,6,UDB02606
3359,UDB-026-1330-31-06-Ashar.pdf,1331,Ashar,shri tarinishankar singho,shadna o tahar kram,6,UDB02606
3360,UDB-026-1330-31-06-Ashar.pdf,1331,Ashar,shri shahaji,matrabandana,6,UDB02606
3361,UDB-026-1330-31-06-Ashar.pdf,1331,Ashar,shri jatindramohan bandopadyay,jibon rahasya,6,UDB02606
3362,UDB-026-1330-31-06-Ashar.pdf,1331,Ashar,bigyani,tatyokotha,6,UDB02606
3363,UDB-026-1330-31-06-Ashar.pdf,1331,Ashar,shri nalini ranjan sen b a bi ti,swadesh prem,6,UDB02606
3364,UDB-026-1330-31-06-Ashar.pdf,1331,Ashar,shri nibaronchandra nandi,akhand baid,6,UDB02606
3365,UDB-026-1330-31-06-Ashar.pdf,1331,Ashar,shri ajithanath sarkar,sonshar,6,UDB02606
3366,UDB-026-1330-31-06-Ashar.pdf,1331,Ashar,swami arupanand,jogen ma,6,UDB02606
3367,UDB-026-1330-31-06-Ashar.pdf,1331,Ashar,,madhukari,6,UDB02606
3368,UDB-026-1330-31-06-Ashar.pdf,1331,Ashar,shri karnatkumar chaudhary,bhagini nibedita,6,UDB02606
3369,UDB-026-1330-31-06-Ashar.pdf,1331,Ashar,,granth parichay,6,UDB02606
3370,UDB-026-1330-31-06-Ashar.pdf,1331,Ashar,,sangh barta,6,UDB02606
3371,UDB-026-1330-31-07-Srabon.pdf,1331,Srabon,,shri ramkrishna janmo strotam,7,UDB02607
3372,UDB-026-1330-31-07-Srabon.pdf,1331,Srabon,shri tarinishankar singho,shadna o tahar kram,7,UDB02607
3373,UDB-026-1330-31-07-Srabon.pdf,1331,Srabon,shri jatindramohan bandopadyay,jibon rahasya,7,UDB02607
3374,UDB-026-1330-31-07-Srabon.pdf,1331,Srabon,swami shidhanand,latumaharajer sonkhipto jiboni,7,UDB02607
3375,UDB-026-1330-31-07-Srabon.pdf,1331,Srabon,shri mahendranath datta,shri mad swami vivekanander jiboner koikati ghatnabali,7,UDB02607
3376,UDB-026-1330-31-07-Srabon.pdf,1331,Srabon,shri brajendralal goswami,desher dukho,7,UDB02607
3377,UDB-026-1330-31-07-Srabon.pdf,1331,Srabon,shri shahaji,dhani daridra samasya o tahar shamadhaner upay,7,UDB02607
3378,UDB-026-1330-31-07-Srabon.pdf,1331,Srabon,shri biharilal sharkar,katipay darshaner sonkhipto bibaran,7,UDB02607
3379,UDB-026-1330-31-07-Srabon.pdf,1331,Srabon,swami chandreshranand,brathdharinir mahamilan,7,UDB02607
3380,UDB-026-1330-31-07-Srabon.pdf,1331,Srabon,,madhukari,7,UDB02607
3381,UDB-026-1330-31-07-Srabon.pdf,1331,Srabon,,granth parichay,7,UDB02607
3382,UDB-026-1330-31-08-vadro.pdf,1331,vadro,,shri shri mayer kotha,8,UDB02608
3383,UDB-026-1330-31-08-vadro.pdf,1331,vadro,shri tarinishankar singho,shadhna o tahar kram,8,UDB02608
