id,bookname_ws,bookyear_i,bookmonth_txt_en_split,author_txt_en_split,subject_txt_en_split,booknumber_i
1,UDB-001-1305-06-01-01-MAGH.pdf,1305,magh,Swami Vivekananda,Prostabana,1
2,UDB-001-1305-06-01-01-MAGH.pdf,1305,magh,Swami Vivekananda,Raj-Yog,1
3,UDB-001-1305-06-01-01-MAGH.pdf,1305,magh,Swami Brahmananda,Paramhansadeber Upodesh,1
4,UDB-001-1305-06-01-01-MAGH.pdf,1305,magh,Swami Ramkrishnanandenanubaditam,Sri Sri Mukundamala Stotram,1
5,UDB-001-1305-06-01-01-MAGH.pdf,1305,magh,,Saradananda Swami Boktritar Sarangsha,1
6,UDB-001-1305-06-01-01-MAGH.pdf,1305,magh,,Bibidh,1
7,UDB-001-1305-06-01-02-MAGH.pdf,1305,magh,Swami Vivekananda,Sokhar Proti,2
8,UDB-001-1305-06-01-02-MAGH.pdf,1305,magh,,Pranayam,2
9,UDB-001-1305-06-01-02-MAGH.pdf,1305,magh,Swami Ramkrishnanandenanubaditam,Sri Sri Mukundamala Stotram,2
10,UDB-001-1305-06-01-02-MAGH.pdf,1305,magh,Babu Girishchandra Ghosh,Karmma,2
11,UDB-001-1305-06-01-02-MAGH.pdf,1305,magh,,Amar Tibbat Bhromoner Ek Porichched,2
12,UDB-001-1305-06-01-02-MAGH.pdf,1305,magh,Swami Brahmananda,Paramhansadeber Satyanishtha,2
13,UDB-001-1305-06-01-02-MAGH.pdf,1305,magh,,Swami Vivekanander sohit kothopokathan,2
14,UDB-001-1305-06-01-02-MAGH.pdf,1305,magh,,Ekti dukkher songbad,2
15,UDB-001-1305-06-01-02-MAGH.pdf,1305,magh,,Maxmueller Likhito Paramhansadeber Jibonchorit,2
16,UDB-001-1305-06-01-03-FALGOON.pdf,1305,falgoon,Swami Vivekananda,Gyanarjjan,3
17,UDB-001-1305-06-01-03-FALGOON.pdf,1305,falgoon,Babu Girishchandra Ghosh,Karmma,3
18,UDB-001-1305-06-01-03-FALGOON.pdf,1305,falgoon,,Annachinta,3
19,UDB-001-1305-06-01-03-FALGOON.pdf,1305,falgoon,,Amar Tibbat Bhromoner Ek Porichched,3
20,UDB-001-1305-06-01-03-FALGOON.pdf,1305,falgoon,,Ramkrishna-Mission,3
21,UDB-001-1305-06-01-03-FALGOON.pdf,1305,falgoon,,Maxmueller Likhito Paramhansadeber Jiboni sombondhe pioneer,3
22,UDB-001-1305-06-01-03-FALGOON.pdf,1305,falgoon,,Prapta,3
23,UDB-001-1305-06-01-03-FALGOON.pdf,1305,falgoon,,Manush Nimakharam,3
24,UDB-001-1305-06-01-03-FALGOON.pdf,1305,falgoon,,Udyeshyo,3
25,UDB-001-1305-06-01-04-FALGOON.pdf,1305,falgoon,,Saradananda Swami Boktritar Sarangsha,4
26,UDB-001-1305-06-01-04-FALGOON.pdf,1305,falgoon,Swami Ramkrishnananda,Sri Ramanuja-Charita,4
27,UDB-001-1305-06-01-04-FALGOON.pdf,1305,falgoon,,Manastwatto,4
28,UDB-001-1305-06-01-04-FALGOON.pdf,1305,falgoon,,Jhaloyar Duhita,4
29,UDB-001-1305-06-01-04-FALGOON.pdf,1305,falgoon,Swami Brahmananda,Paramhansadeber Upodesh,4
30,UDB-001-1305-06-01-04-FALGOON.pdf,1305,falgoon,,Amar Tibbat Bhromoner Ek Porichched,4
31,UDB-001-1305-06-01-04-FALGOON.pdf,1305,falgoon,,Songbad o Montobbo,4
32,UDB-001-1305-06-01-04-FALGOON.pdf,1305,falgoon,,Ramkrishna-Mission,4
33,UDB-001-1305-06-01-04-FALGOON.pdf,1305,falgoon,,Shomalochona,4
34,UDB-001-1305-06-01-05-CHAITRA.pdf,1305,chaitra,Swami Vivekananda,Maxmueller krito Ramkrishna o Tahar ukti,5
35,UDB-001-1305-06-01-05-CHAITRA.pdf,1305,chaitra,,Ashabani,5
36,UDB-001-1305-06-01-05-CHAITRA.pdf,1305,chaitra,Swami Ramkrishnananda,Sri Ramanuja-Charita,5
37,UDB-001-1305-06-01-05-CHAITRA.pdf,1305,chaitra,,Amar Tibbat Bhromoner Ek Porichched,5
38,UDB-001-1305-06-01-05-CHAITRA.pdf,1305,chaitra,Swami Brahmananda,Paramhansadeber Upodesh,5
39,UDB-001-1305-06-01-05-CHAITRA.pdf,1305,chaitra,Kabibar Girishchandra Ghosh,Jhaloyar Duhita,5
40,UDB-001-1305-06-01-05-CHAITRA.pdf,1305,chaitra,,Megh-Dhamar,5
41,UDB-001-1305-06-01-05-CHAITRA.pdf,1305,chaitra,Pandit Pramathanath Tarkobhushan,Acharya Shankar o Mayabad,5
42,UDB-001-1305-06-01-05-CHAITRA.pdf,1305,chaitra,,Songbad o Montobbo,5
43,UDB-001-1305-06-01-05-CHAITRA.pdf,1305,chaitra,,Ramkrishna-Mission,5
44,UDB-001-1305-06-01-06-CHAITRA.pdf,1305,chaitra,Swami Vivekananda,Barttaman Bharat,6
45,UDB-001-1305-06-01-06-CHAITRA.pdf,1305,chaitra,Swami Ramkrishnananda,Sri Ramanuja-Charita,6
46,UDB-001-1305-06-01-06-CHAITRA.pdf,1305,chaitra,,Annachinta,6
47,UDB-001-1305-06-01-06-CHAITRA.pdf,1305,chaitra,Pandit Pramathanath Tarkobhushan,Acharya Shankar o Mayabad,6
48,UDB-001-1305-06-01-06-CHAITRA.pdf,1305,chaitra,Daktar Shoshibhushan Ghosh,Shashthya Bigyan,6
49,UDB-001-1305-06-01-06-CHAITRA.pdf,1305,chaitra,,Dhammapad,6
50,UDB-001-1305-06-01-06-CHAITRA.pdf,1305,chaitra,Swami Brahmananda,Paramhansadeber Upodesh,6
51,UDB-001-1305-06-01-06-CHAITRA.pdf,1305,chaitra,Girishchandra Ghosh,Hridoy,6
52,UDB-001-1305-06-01-06-CHAITRA.pdf,1305,chaitra,,Prerit Patra,6
53,UDB-001-1305-06-01-06-CHAITRA.pdf,1305,chaitra,,Songbad o Patra,6
54,UDB-001-1305-06-01-06-CHAITRA.pdf,1305,chaitra,,Songkhipto Alochana,6
55,UDB-001-1305-06-01-06-CHAITRA.pdf,1305,chaitra,,Binimoy prapti swikar,6
56,UDB-001-1305-06-01-07-BAISHAKH.pdf,1306,baishakh,Swami Vivekananda,Barttaman Bharat,7
57,UDB-001-1305-06-01-07-BAISHAKH.pdf,1306,baishakh,Swami Ramkrishnananda,Sri Ramanuja-Charita,7
58,UDB-001-1305-06-01-07-BAISHAKH.pdf,1306,baishakh,Kabibar Girishchandra Ghosh,Jhaloyar Duhita,7
59,UDB-001-1305-06-01-07-BAISHAKH.pdf,1306,baishakh,,Prachya o Paschatya Darshan,7
60,UDB-001-1305-06-01-07-BAISHAKH.pdf,1306,baishakh,,Amar Tibbat Bhromoner Ek Porichched,7
61,UDB-001-1305-06-01-07-BAISHAKH.pdf,1306,baishakh,,Bhagawadgita Shankarbhashyer Banganubad,7
62,UDB-001-1305-06-01-07-BAISHAKH.pdf,1306,baishakh,,Mahabhashyam,7
63,UDB-001-1305-06-01-07-BAISHAKH.pdf,1306,baishakh,,Swami Yogananda,7
64,UDB-001-1305-06-01-07-BAISHAKH.pdf,1306,baishakh,,Shanti,7
65,UDB-001-1305-06-01-08-BAISHAKH.pdf,1306,baishakh,Swami Vivekananda,Barttaman Bharat,8
66,UDB-001-1305-06-01-08-BAISHAKH.pdf,1306,baishakh,Babu Charuchandra Basu,Dhammapad,8
67,UDB-001-1305-06-01-08-BAISHAKH.pdf,1306,baishakh,Babu Sharachchandra Chakraborty,Leela,8
68,UDB-001-1305-06-01-08-BAISHAKH.pdf,1306,baishakh,Kabibar Girishchandra Ghosh,Jhaloyar Duhita,8
69,UDB-001-1305-06-01-08-BAISHAKH.pdf,1306,baishakh,Swami Brahmananda,Paramhansadeber Upodesh,8
70,UDB-001-1305-06-01-08-BAISHAKH.pdf,1306,baishakh,,Ramkrishna Janmotsab,8
71,UDB-001-1305-06-01-08-BAISHAKH.pdf,1306,baishakh,Pandit Pramathanath Tarkobhushananubadita,Bhagawadgita Shankarbhashyer Banganubad,8
72,UDB-001-1305-06-01-08-BAISHAKH.pdf,1306,baishakh,,Sharirik Sutra Ramanujabhashyam,8
73,UDB-001-1305-06-01-09-JAISTHA.pdf,1306,jaistha,Shrima Kathito,Shri Shri Ramkrishna Kathamrito,9
